,CustomerID,Gender,Age,Annual Income,Spending Score,cluster
40,41,Female,65,38.0,35.0,6
53,54,Male,59,43.0,60.0,6
57,58,Male,69,44.0,46.0,6
60,61,Male,70,46.0,56.0,6
62,63,Female,67,47.0,52.0,6
63,64,Female,54,47.0,59.0,6
64,65,Male,63,48.0,51.0,6
67,68,Female,68,48.0,48.0,6
70,71,Male,70,49.0,55.0,6
72,73,Female,60,50.0,49.0,6
74,75,Male,59,54.0,47.0,6
80,81,Male,57,54.0,51.0,6
82,83,Male,67,54.0,41.0,6
86,87,Female,55,57.0,58.0,6
89,90,Female,50,58.0,46.0,6
90,91,Female,68,59.0,55.0,6
92,93,Male,48,60.0,49.0,6
101,102,Female,49,62.0,48.0,6
102,103,Male,67,62.0,59.0,6
104,105,Male,49,62.0,56.0,6
106,107,Female,66,63.0,50.0,6
107,108,Male,54,63.0,46.0,6
108,109,Male,68,63.0,43.0,6
109,110,Male,66,63.0,48.0,6
110,111,Male,65,63.0,52.0,6
116,117,Female,63,65.0,43.0,6
117,118,Female,49,65.0,59.0,6
118,119,Female,51,67.0,43.0,6
119,120,Female,50,67.0,57.0,6
