,CustomerID,Gender,Age,Annual Income,Spending Score,cluster
1,2,Male,21,15.0,81.0,3
3,4,Female,23,16.0,77.0,3
5,6,Female,22,17.0,76.0,3
7,8,Female,23,18.0,94.0,3
9,10,Female,30,19.0,72.0,3
11,12,Female,35,19.0,99.0,3
13,14,Female,24,20.0,77.0,3
15,16,Male,22,20.0,79.0,3
17,18,Male,20,21.0,66.0,3
19,20,Female,35,23.0,98.0,3
21,22,Male,25,24.0,73.0,3
23,24,Male,31,25.0,73.0,3
25,26,Male,29,28.0,82.0,3
27,28,Male,35,28.0,61.0,3
29,30,Female,23,29.0,87.0,3
31,32,Female,21,30.0,73.0,3
33,34,Male,18,33.0,92.0,3
35,36,Female,21,33.0,81.0,3
37,38,Female,30,34.0,73.0,3
39,40,Female,20,37.0,75.0,3
41,42,Male,24,38.0,92.0,3
45,46,Female,24,39.0,65.0,3
