,CustomerID,Gender,Age,Annual Income,Spending Score,cluster
123,124,Male,39,69.0,91.0,1
125,126,Female,31,70.0,77.0,1
127,128,Male,40,71.0,95.0,1
129,130,Male,38,71.0,75.0,1
131,132,Male,39,71.0,75.0,1
133,134,Female,31,72.0,71.0,1
135,136,Female,29,73.0,88.0,1
137,138,Male,32,73.0,73.0,1
139,140,Female,35,74.0,72.0,1
141,142,Male,32,75.0,93.0,1
143,144,Female,32,76.0,87.0,1
145,146,Male,28,77.0,97.0,1
147,148,Female,32,77.0,74.0,1
151,152,Male,39,78.0,88.0,1
153,154,Female,38,78.0,76.0,1
155,156,Female,27,78.0,89.0,1
157,158,Female,30,78.0,78.0,1
159,160,Female,30,78.0,73.0,1
161,162,Female,29,79.0,83.0,1
163,164,Female,31,81.0,93.0,1
165,166,Female,36,85.0,75.0,1
167,168,Female,33,86.0,95.0,1
169,170,Male,32,87.0,63.0,1
171,172,Male,28,87.0,75.0,1
173,174,Male,36,87.0,92.0,1
175,176,Female,30,88.0,86.0,1
177,178,Male,27,88.0,69.0,1
179,180,Male,35,93.0,90.0,1
181,182,Female,32,97.0,86.0,1
183,184,Female,29,98.0,88.0,1
185,186,Male,30,99.0,97.0,1
